,Home Team Initials,Away Team Initials,weight,HomeGoalTotal
224,ESP,TUN,1,1
225,ESP,UKR,1,1
226,ESP,USA,1,1
227,ESP,YUG,2,2
228,FRA,BEL,2,2
229,FRA,CRO,1,1
230,FRA,DEN,1,1
231,FRA,FRG,2,2
232,FRA,GER,2,2
233,FRA,HON,1,1
234,FRA,HUN,1,1
235,FRA,KOR,1,1
236,FRA,KSA,1,1
237,FRA,KUW,1,1
238,FRA,MEX,4,4
239,FRA,NGA,2,2
240,FRA,NIR,2,2
241,FRA,PAR,2,2
242,FRA,RSA,2,2
243,FRA,SCO,1,1
244,FRA,SEN,1,1
245,FRA,SUI,1,1
246,FRA,TCH,1,1
247,FRA,URS,1,1
248,FRA,URU,1,1
249,FRG,ALG,1,1
250,FRG,ARG,2,2
251,FRG,AUT,2,2
252,FRG,BUL,1,1
253,FRG,CHI,3,3
254,FRG,COL,1,1
255,FRG,ENG,3,3
256,FRG,ESP,2,2
257,FRG,FRA,1,1
258,FRG,HUN,1,1
259,FRG,ITA,2,2
260,FRG,MAR,1,1
261,FRG,MEX,2,2
262,FRG,NED,2,2
263,FRG,NIR,1,1
264,FRG,PER,1,1
265,FRG,POL,1,1
266,FRG,SCO,1,1
267,FRG,SUI,2,2
268,FRG,SWE,1,1
269,FRG,TCH,2,2
270,FRG,TUN,1,1
271,FRG,TUR,2,2
272,FRG,UAE,1,1
273,FRG,URS,1,1
274,FRG,URU,2,2
275,FRG,YUG,3,3
276,GDR,AUS,1,1
277,GDR,FRG,1,1
278,GDR,NED,1,1
279,GER,ALG,2,2
280,GER,ARG,3,3
281,GER,AUS,1,1
282,GER,AUT,1,1
283,GER,BEL,2,2
284,GER,BOL,1,1
285,GER,BRA,1,1
286,GER,CRC,1,1
287,GER,CRO,1,1
288,GER,ENG,1,1
289,GER,ESP,2,2
290,GER,GHA,1,1
291,GER,IRL,1,1
292,GER,IRN,1,1
293,GER,ITA,1,1
294,GER,KOR,2,2
295,GER,KSA,1,1
296,GER,MEX,1,1
297,GER,PAR,1,1
298,GER,POL,1,1
299,GER,POR,2,2
300,GER,SRB,1,1
301,GER,SWE,2,2
302,GER,USA,2,2
303,GER,YUG,1,1
304,GHA,AUS,1,1
305,GHA,GER,1,1
306,GHA,USA,2,2
307,GRE,ARG,1,1
308,GRE,CIV,1,1
309,GRE,NGA,2,2
310,HAI,POL,1,1
311,HON,CHI,1,1
312,HON,ECU,1,1
313,HON,NIR,1,1
314,HON,SUI,1,1
315,HON,YUG,1,1
316,HUN,ARG,1,1
317,HUN,BRA,2,2
318,HUN,BUL,2,2
319,HUN,CAN,1,1
320,HUN,EGY,1,1
321,HUN,ENG,1,1
322,HUN,FRA,1,1
323,HUN,FRG,1,1
324,HUN,INH,1,1
